Dataset,Classifier,Fit time,Test accuracy,Train accuracy
adult,Nearest Neighbors,0.3414,0.7747,0.8329
adult,Linear SVM,1.2043,0.5812,0.5812
adult,RBF SVM,123.868,0.7933,0.823
adult,Gaussian Process,600.0,0.0,0.0
adult,Decision Tree,0.3127,0.8093,0.9998
adult,Random Forest,16.6492,0.8525,0.9998
adult,Neural Net,25.7229,0.6795,0.6782
adult,AdaBoost,7.1172,0.86,0.8606
adult,Naive Bayes,0.1871,0.795,0.7948
adult,QDA,0.2743,0.8036,0.8037
adult,"NN-(300, 100)-relu-sigmoid-mean_squared_error",43.9048,0.8256,0.8031
adult,"NN-(300, 100)-relu-softmax-crossentropy",36.6117,0.7592,0.7592
adult,"NN-(500, 300)-relu-sigmoid-mean_squared_error",83.1769,0.8226,0.8026
adult,"NN-(500, 300)-relu-softmax-crossentropy",68.234,0.7592,0.7592
adult,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",55.9782,0.8172,0.8011
adult,"NN-(500, 500, 2000)-relu-softmax-crossentropy",44.5372,0.7592,0.7592
allbp,Nearest Neighbors,0.0135,0.9531,0.9615
allbp,Linear SVM,0.7039,0.9568,0.9568
allbp,RBF SVM,0.3765,0.9563,0.9574
allbp,Gaussian Process,600.0,0.0,0.0
allbp,Decision Tree,0.0141,0.9735,1.0
allbp,Random Forest,1.5388,0.9738,1.0
allbp,Neural Net,20.6178,0.9597,0.9628
allbp,AdaBoost,1.4154,0.9525,0.9515
allbp,Naive Bayes,0.011000000000000001,0.2484,0.2581
allbp,QDA,0.0675,0.1249,0.1237
allbp,"NN-(300, 100)-relu-sigmoid-mean_squared_error",11.6101,0.9663,0.9620000000000001
allbp,"NN-(300, 100)-relu-softmax-crossentropy",15.9707,0.9629,0.9604
allbp,"NN-(500, 300)-relu-sigmoid-mean_squared_error",22.978,0.9645,0.96
allbp,"NN-(500, 300)-relu-softmax-crossentropy",20.6975,0.965,0.96
allbp,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",62.6584,0.9581,0.9573
allbp,"NN-(500, 500, 2000)-relu-softmax-crossentropy",69.5097,0.9621,0.9594
ann,Nearest Neighbors,0.2984,0.9404,0.9487
ann,Linear SVM,2.1773,0.9258,0.9258
ann,RBF SVM,5.5745,0.9274,0.9274
ann,Gaussian Process,600.0,0.0,0.0
ann,Decision Tree,0.0131,0.9918,1.0
ann,Random Forest,2.5514,0.9936,1.0
ann,Neural Net,87.7663,0.9612,0.9657
ann,AdaBoost,1.9743,0.9887,0.9918
ann,Naive Bayes,0.0525,0.0907,0.0923
ann,QDA,0.0819,0.5437,0.5539
ann,"NN-(300, 100)-relu-sigmoid-mean_squared_error",7.3088,0.9571,0.9465
ann,"NN-(300, 100)-relu-softmax-crossentropy",3.5683,0.9583,0.9467
ann,"NN-(500, 300)-relu-sigmoid-mean_squared_error",4.4761,0.9553,0.9457
ann,"NN-(500, 300)-relu-softmax-crossentropy",4.8373,0.9579,0.9463
ann,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",22.375,0.9319,0.9293
ann,"NN-(500, 500, 2000)-relu-softmax-crossentropy",43.4138,0.9615,0.948
australian,Nearest Neighbors,0.0012,0.6755,0.7652
australian,Linear SVM,0.6667,0.855,0.8554
australian,RBF SVM,0.026000000000000002,0.6625,0.7544
australian,Gaussian Process,32.1328,0.7656,0.8384
australian,Decision Tree,0.0027,0.8174,1.0
australian,Random Forest,0.1548,0.8551,0.9996
australian,Neural Net,1.1987,0.8246,0.866
australian,AdaBoost,0.0903,0.8551,0.9079999999999999
australian,Naive Bayes,0.0015,0.8261,0.8366
australian,QDA,0.0031,0.8361,0.8652
australian,"NN-(300, 100)-relu-sigmoid-mean_squared_error",0.9159999999999999,0.8464,0.7899
australian,"NN-(300, 100)-relu-softmax-crossentropy",1.0091,0.4449,0.4449
australian,"NN-(500, 300)-relu-sigmoid-mean_squared_error",1.145,0.8494,0.779
australian,"NN-(500, 300)-relu-softmax-crossentropy",1.1138,0.4449,0.4449
australian,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",4.9738,0.8449,0.7877
australian,"NN-(500, 500, 2000)-relu-softmax-crossentropy",2.6419,0.4449,0.4449
byzantine,Nearest Neighbors,0.0481,0.9779,0.9898
byzantine,Linear SVM,0.9109999999999999,0.9906,0.9998
byzantine,RBF SVM,13.1782,0.9785,0.9983
byzantine,Gaussian Process,600.0,0.0,0.0
byzantine,Decision Tree,2.279,0.9325,1.0
byzantine,Random Forest,17.581,0.9871,1.0
byzantine,Neural Net,9.1648,0.9773,0.9936
byzantine,AdaBoost,12.5278,0.0717,0.0711
byzantine,Naive Bayes,0.0412,0.9768,0.9833
byzantine,QDA,0.1895,0.9845,0.9998
byzantine,"NN-(300, 100)-relu-sigmoid-mean_squared_error",15.2386,0.8693,0.8236
byzantine,"NN-(300, 100)-relu-softmax-crossentropy",12.4992,0.9758,0.9188
byzantine,"NN-(500, 300)-relu-sigmoid-mean_squared_error",32.4139,0.9281,0.8816
byzantine,"NN-(500, 300)-relu-softmax-crossentropy",21.9173,0.9775,0.9175
byzantine,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",47.3774,0.0169,0.0169
byzantine,"NN-(500, 500, 2000)-relu-softmax-crossentropy",86.2204,0.9721,0.9085
diabetes,Nearest Neighbors,0.0011,0.7032,0.8021
diabetes,Linear SVM,0.2044,0.7709,0.7686
diabetes,RBF SVM,0.0305,0.7226,0.8551
diabetes,Gaussian Process,73.2279,0.7565,0.7731
diabetes,Decision Tree,0.0037,0.6706,1.0
diabetes,Random Forest,0.17300000000000001,0.7409,1.0
diabetes,Neural Net,0.5281,0.6927,0.7074
diabetes,AdaBoost,0.0917,0.7631,0.8272
diabetes,Naive Bayes,0.0018,0.767,0.7679
diabetes,QDA,0.0048,0.75,0.7669
diabetes,"NN-(300, 100)-relu-sigmoid-mean_squared_error",0.8966,0.7435,0.7217
diabetes,"NN-(300, 100)-relu-softmax-crossentropy",1.0335,0.349,0.349
diabetes,"NN-(500, 300)-relu-sigmoid-mean_squared_error",1.148,0.75,0.7217
diabetes,"NN-(500, 300)-relu-softmax-crossentropy",1.1359,0.349,0.349
diabetes,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",3.6425,0.7513,0.7093
diabetes,"NN-(500, 500, 2000)-relu-softmax-crossentropy",2.8104,0.349,0.349
fluid,Nearest Neighbors,0.0011,0.7259,0.8906
fluid,Linear SVM,0.0119,0.9162,0.9646
fluid,RBF SVM,0.0097,0.7243,0.7929
fluid,Gaussian Process,36.4614,0.9213,0.9604
fluid,Decision Tree,0.0018,0.9037,1.0
fluid,Random Forest,0.24,0.9285,1.0
fluid,Neural Net,0.7318,0.5504,0.6244
fluid,AdaBoost,0.1068,0.6155,0.6162
fluid,Naive Bayes,0.0025,0.879,0.9093
fluid,QDA,0.0138,0.8997,0.9772
fluid,"NN-(300, 100)-relu-sigmoid-mean_squared_error",1.3347,0.7506,0.6852
fluid,"NN-(300, 100)-relu-softmax-crossentropy",1.4380000000000002,0.7617,0.6829
fluid,"NN-(500, 300)-relu-sigmoid-mean_squared_error",2.2389,0.7468,0.6704
fluid,"NN-(500, 300)-relu-softmax-crossentropy",2.4637,0.7636,0.6676
fluid,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",6.5487,0.7542,0.6797
fluid,"NN-(500, 500, 2000)-relu-softmax-crossentropy",5.5922,0.7619,0.6611
german_cont,Nearest Neighbors,0.0011,0.6675,0.7662
german_cont,Linear SVM,0.0479,0.7,0.7
german_cont,RBF SVM,0.0461,0.7012,0.7472
german_cont,Gaussian Process,8.8602,0.7,0.7
german_cont,Decision Tree,0.0023,0.6412,0.9959
german_cont,Random Forest,0.2896,0.705,0.9959
german_cont,Neural Net,0.7406,0.7238,0.7319
german_cont,AdaBoost,0.1519,0.6988,0.7444
german_cont,Naive Bayes,0.0017,0.715,0.7138
german_cont,QDA,0.0088,0.7188,0.7275
german_cont,"NN-(300, 100)-relu-sigmoid-mean_squared_error",1.7151,0.7012,0.7047
german_cont,"NN-(300, 100)-relu-softmax-crossentropy",1.4217,0.3,0.3
german_cont,"NN-(500, 300)-relu-sigmoid-mean_squared_error",2.0234,0.71,0.7
german_cont,"NN-(500, 300)-relu-softmax-crossentropy",1.8121,0.3,0.3
german_cont,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",6.4121,0.7025,0.7019
german_cont,"NN-(500, 500, 2000)-relu-softmax-crossentropy",4.3747,0.3,0.3
german_f,Nearest Neighbors,0.0022,0.6675,0.7662
german_f,Linear SVM,0.049,0.7,0.7
german_f,RBF SVM,0.0327,0.7012,0.7472
german_f,Gaussian Process,8.712,0.7,0.7
german_f,Decision Tree,0.0024,0.6262,0.9959
german_f,Random Forest,0.2422,0.6888,0.9959
german_f,Neural Net,0.8532,0.7175,0.7338
german_f,AdaBoost,0.1512,0.6988,0.7444
german_f,Naive Bayes,0.0014,0.715,0.7138
german_f,QDA,0.0078,0.7188,0.7275
german_f,"NN-(300, 100)-relu-sigmoid-mean_squared_error",1.713,0.6987,0.71
german_f,"NN-(300, 100)-relu-softmax-crossentropy",1.4869,0.3,0.3
german_f,"NN-(500, 300)-relu-sigmoid-mean_squared_error",1.7415,0.7025,0.6994
german_f,"NN-(500, 300)-relu-softmax-crossentropy",1.7891,0.3,0.3
german_f,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",6.4241,0.7,0.6997
german_f,"NN-(500, 500, 2000)-relu-softmax-crossentropy",4.3683,0.3,0.3
german_n,Nearest Neighbors,0.0013,0.7188,0.8109
german_n,Linear SVM,0.035,0.7462,0.7644
german_n,RBF SVM,0.0462,0.7125,0.7641
german_n,Gaussian Process,16.1652,0.7375,0.7719
german_n,Decision Tree,0.0033,0.675,1.0
german_n,Random Forest,0.2939,0.7675,1.0
german_n,Neural Net,1.6931,0.7962,0.8438
german_n,AdaBoost,0.1636,0.7625,0.8147
german_n,Naive Bayes,0.0018,0.7288,0.7472
german_n,QDA,0.0049,0.7288,0.8097
german_n,"NN-(300, 100)-relu-sigmoid-mean_squared_error",1.0797,0.7337,0.7284
german_n,"NN-(300, 100)-relu-softmax-crossentropy",1.222,0.3,0.3
german_n,"NN-(500, 300)-relu-sigmoid-mean_squared_error",2.5605,0.73,0.7375
german_n,"NN-(500, 300)-relu-softmax-crossentropy",1.8187,0.3,0.3
german_n,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",6.03,0.7362,0.7234
german_n,"NN-(500, 500, 2000)-relu-softmax-crossentropy",4.3405,0.3,0.3
iris,Nearest Neighbors,0.0009,0.9467,0.965
iris,Linear SVM,0.0012,0.8867,0.9167
iris,RBF SVM,0.0014,0.9467,0.9617
iris,Gaussian Process,1.0631,0.9533,0.9683
iris,Decision Tree,0.0008,0.94,1.0
iris,Random Forest,0.2072,0.96,1.0
iris,Neural Net,0.39299999999999996,0.9667,0.9567
iris,AdaBoost,0.1228,0.7467,0.7617
iris,Naive Bayes,0.0012,0.88,0.8917
iris,QDA,0.008,0.96,0.9483
iris,"NN-(300, 100)-relu-sigmoid-mean_squared_error",0.9751,0.82,0.68
iris,"NN-(300, 100)-relu-softmax-crossentropy",1.0058,0.82,0.695
iris,"NN-(500, 300)-relu-sigmoid-mean_squared_error",1.1384,0.8267,0.6983
iris,"NN-(500, 300)-relu-softmax-crossentropy",1.1675,0.84,0.7
iris,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",2.2318,0.8533,0.7
iris,"NN-(500, 500, 2000)-relu-softmax-crossentropy",2.3842,0.8133,0.7017
letter,Nearest Neighbors,0.0499,0.9420000000000001,0.9689
letter,Linear SVM,3.9821,0.8213,0.8312
letter,RBF SVM,7.542000000000001,0.9517,0.9689
letter,Gaussian Process,600.0,0.0,0.0
letter,Decision Tree,0.0954,0.8694,1.0
letter,Random Forest,2.1333,0.958,1.0
letter,Neural Net,82.1291,0.9112,0.9359999999999999
letter,AdaBoost,1.2297,0.2435,0.2473
letter,Naive Bayes,0.016,0.6332,0.6362
letter,QDA,0.038,0.8627,0.8756
letter,"NN-(300, 100)-relu-sigmoid-mean_squared_error",41.2525,0.6208,0.4968
letter,"NN-(300, 100)-relu-softmax-crossentropy",43.8588,0.6052,0.5145
letter,"NN-(500, 300)-relu-sigmoid-mean_squared_error",88.5064,0.5945,0.508
letter,"NN-(500, 300)-relu-softmax-crossentropy",17.6531,0.5465,0.5584
letter,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",87.6997,0.0388,0.0388
letter,"NN-(500, 500, 2000)-relu-softmax-crossentropy",153.1133,0.4474,0.5804
optical,Nearest Neighbors,0.0136,0.9829,0.991
optical,Linear SVM,0.2575,0.9747,0.9981
optical,RBF SVM,2.0887,0.9874,0.9997
optical,Gaussian Process,600.0,0.0,0.0
optical,Decision Tree,0.0727,0.8891,1.0
optical,Random Forest,0.7935,0.9765,1.0
optical,Neural Net,11.0212,0.9761,1.0
optical,AdaBoost,0.5569,0.6886,0.6968
optical,Naive Bayes,0.011000000000000001,0.7987,0.8113
optical,QDA,0.0803,0.7143,0.7490000000000001
optical,"NN-(300, 100)-relu-sigmoid-mean_squared_error",8.9884,0.9722,0.8935
optical,"NN-(300, 100)-relu-softmax-crossentropy",11.6583,0.9781,0.9026
optical,"NN-(500, 300)-relu-sigmoid-mean_squared_error",19.4821,0.9740000000000001,0.8981
optical,"NN-(500, 300)-relu-softmax-crossentropy",22.6814,0.9785,0.9085
optical,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",66.6804,0.9721,0.8881
optical,"NN-(500, 500, 2000)-relu-softmax-crossentropy",65.077,0.9751,0.895
page,Nearest Neighbors,0.0035,0.9433,0.9675
page,Linear SVM,70.77600000000001,0.9592,0.9651
page,RBF SVM,2.8643,0.9313,0.9643
page,Gaussian Process,600.0,0.0,0.0
page,Decision Tree,0.1028,0.9477,0.9977
page,Random Forest,3.3937,0.9618,0.9977
page,Neural Net,5.1936,0.9475,0.9570000000000001
page,AdaBoost,1.1332,0.8618,0.9071
page,Naive Bayes,0.0083,0.8841,0.9094
page,QDA,0.0191,0.9258,0.9414
page,"NN-(300, 100)-relu-sigmoid-mean_squared_error",37.6888,0.9381,0.9279999999999999
page,"NN-(300, 100)-relu-softmax-crossentropy",31.8287,0.9375,0.9313
page,"NN-(500, 300)-relu-sigmoid-mean_squared_error",57.4821,0.9351,0.9296
page,"NN-(500, 300)-relu-softmax-crossentropy",50.2199,0.9384,0.9305
page,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",14.3046,0.9244,0.917
page,"NN-(500, 500, 2000)-relu-softmax-crossentropy",14.3553,0.9386,0.932
pendigits,Nearest Neighbors,0.059000000000000004,0.9893,0.9946
pendigits,Linear SVM,5.0872,0.9703,0.9827
pendigits,RBF SVM,48.6018,0.9440000000000001,0.9998
pendigits,Gaussian Process,600.0,0.0,0.0
pendigits,Decision Tree,0.2034,0.9543,1.0
pendigits,Random Forest,5.7559,0.9897,1.0
pendigits,Neural Net,49.0774,0.9887,0.997
pendigits,AdaBoost,3.7533,0.5584,0.5524
pendigits,Naive Bayes,0.0846,0.8474,0.8511
pendigits,QDA,0.0915,0.976,0.9812
pendigits,"NN-(300, 100)-relu-sigmoid-mean_squared_error",2.8893,0.9148,0.7862
pendigits,"NN-(300, 100)-relu-softmax-crossentropy",2.7217,0.9222,0.7855
pendigits,"NN-(500, 300)-relu-sigmoid-mean_squared_error",7.1709,0.904,0.795
pendigits,"NN-(500, 300)-relu-softmax-crossentropy",7.1976,0.9124,0.7966
pendigits,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",50.696999999999996,0.8804,0.7905
pendigits,"NN-(500, 500, 2000)-relu-softmax-crossentropy",56.7336,0.8833,0.7976
quisclas,Nearest Neighbors,0.0089,0.6342,0.7514
quisclas,Linear SVM,1.1062,0.5856,0.5886
quisclas,RBF SVM,1.6826,0.6815,0.6922
quisclas,Gaussian Process,600.0,0.0,0.0
quisclas,Decision Tree,0.0631,0.5817,0.9949
quisclas,Random Forest,3.4709,0.6588,0.9949
quisclas,Neural Net,28.2751,0.6919,0.7040000000000001
quisclas,AdaBoost,1.3994,0.6583,0.6753
quisclas,Naive Bayes,0.0086,0.4103,0.4071
quisclas,QDA,0.0254,0.5005,0.5081
quisclas,"NN-(300, 100)-relu-sigmoid-mean_squared_error",7.4809,0.6082,0.55
quisclas,"NN-(300, 100)-relu-softmax-crossentropy",3.3324,0.6102,0.5491
quisclas,"NN-(500, 300)-relu-sigmoid-mean_squared_error",4.9463,0.5894,0.5568
quisclas,"NN-(500, 300)-relu-softmax-crossentropy",4.4955,0.6159,0.5435
quisclas,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",24.0278,0.5972,0.5493
quisclas,"NN-(500, 500, 2000)-relu-softmax-crossentropy",28.1331,0.5875,0.5419
satimage,Nearest Neighbors,0.0156,0.8406,0.9409
satimage,Linear SVM,1.177,0.8227,0.9011
satimage,RBF SVM,2.0321,0.8349,0.9735
satimage,Gaussian Process,600.0,0.0,0.0
satimage,Decision Tree,0.1222,0.8058,1.0
satimage,Random Forest,2.1234,0.8604,1.0
satimage,Neural Net,11.0739,0.7355,0.787
satimage,AdaBoost,1.64,0.5834,0.5695
satimage,Naive Bayes,0.0348,0.7794,0.7971
satimage,QDA,0.0689,0.8173,0.9034
satimage,"NN-(300, 100)-relu-sigmoid-mean_squared_error",7.5598,0.8636,0.8331
satimage,"NN-(300, 100)-relu-softmax-crossentropy",9.394,0.8658,0.8369
satimage,"NN-(500, 300)-relu-sigmoid-mean_squared_error",14.2847,0.8631,0.8342
satimage,"NN-(500, 300)-relu-softmax-crossentropy",14.209000000000001,0.8611,0.8374
satimage,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",60.4237,0.8640000000000001,0.8387
satimage,"NN-(500, 500, 2000)-relu-softmax-crossentropy",67.3628,0.8674,0.8434
segment,Nearest Neighbors,0.0023,0.9385,0.9663
segment,Linear SVM,0.2456,0.958,0.9615
segment,RBF SVM,0.4681,0.9485,0.9747
segment,Gaussian Process,600.0,0.0,0.0
segment,Decision Tree,0.0202,0.9537,1.0
segment,Random Forest,1.7065,0.9749,1.0
segment,Neural Net,16.726,0.9511,0.9661
segment,AdaBoost,1.5871,0.4853,0.4864
segment,Naive Bayes,0.0034,0.7913,0.7919
segment,QDA,0.0218,0.6113,0.6081
segment,"NN-(300, 100)-relu-sigmoid-mean_squared_error",12.0457,0.8355,0.7398
segment,"NN-(300, 100)-relu-softmax-crossentropy",12.8042,0.8494,0.7325
segment,"NN-(500, 300)-relu-sigmoid-mean_squared_error",20.1229,0.7939,0.7518
segment,"NN-(500, 300)-relu-softmax-crossentropy",20.5235,0.7416,0.7579
segment,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",67.0297,0.7541,0.7733
segment,"NN-(500, 500, 2000)-relu-softmax-crossentropy",72.1121,0.7511,0.7685
triazines,Nearest Neighbors,0.6971,0.8805,0.9266
triazines,Linear SVM,202.3442,0.6384,0.6415
triazines,RBF SVM,250.6994,0.8474,0.8765
triazines,Gaussian Process,600.0,0.0,0.0
triazines,Decision Tree,6.4525,0.9575,0.9922
triazines,Random Forest,49.6884,0.9606,0.9922
triazines,Neural Net,84.1616,0.9618,0.9791
triazines,AdaBoost,38.6548,0.762,0.7795
triazines,Naive Bayes,1.2177,0.6706,0.6727
triazines,QDA,3.0989,0.696,0.7107
triazines,"NN-(300, 100)-relu-sigmoid-mean_squared_error",15.5778,0.8222,0.7713
triazines,"NN-(300, 100)-relu-softmax-crossentropy",54.13,0.5,0.5
triazines,"NN-(500, 300)-relu-sigmoid-mean_squared_error",35.7229,0.8194,0.778
triazines,"NN-(500, 300)-relu-softmax-crossentropy",89.0356,0.5,0.5
triazines,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",304.9767,0.8231,0.7823
triazines,"NN-(500, 500, 2000)-relu-softmax-crossentropy",70.4441,0.5,0.5
vehicle,Nearest Neighbors,0.0013,0.6515,0.7843
vehicle,Linear SVM,0.248,0.7838,0.8168
vehicle,RBF SVM,0.0684,0.6882,0.8224
vehicle,Gaussian Process,51.52,0.5934,0.9179
vehicle,Decision Tree,0.0066,0.7174,1.0
vehicle,Random Forest,0.3958,0.7506,1.0
