Dataset,Classifier,Fit time,Test accuracy,Train accuracy
vehicle,Neural Net,3.3768,0.6154,0.6218
vehicle,AdaBoost,0.2001,0.604,0.6235
vehicle,Naive Bayes,0.002,0.4633,0.4817
vehicle,QDA,0.0157,0.8073,0.8839
vehicle,"NN-(300, 100)-relu-sigmoid-mean_squared_error",6.8261,0.6808,0.5795
vehicle,"NN-(300, 100)-relu-softmax-crossentropy",7.7935,0.6702,0.5615
vehicle,"NN-(500, 300)-relu-sigmoid-mean_squared_error",5.6628,0.6867,0.5857
vehicle,"NN-(500, 300)-relu-softmax-crossentropy",5.5018,0.6796,0.5922
vehicle,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",15.1659,0.6786,0.5866
vehicle,"NN-(500, 500, 2000)-relu-softmax-crossentropy",15.7403,0.6749,0.5937
vowel,Nearest Neighbors,0.0011,0.7212,0.9879
vowel,Linear SVM,0.0164,0.6596,0.7709999999999999
vowel,RBF SVM,0.0278,0.7505,0.9086
vowel,Gaussian Process,71.5514,0.7636,1.0
vowel,Decision Tree,0.0081,0.5828,1.0
vowel,Random Forest,0.4783,0.701,1.0
vowel,Neural Net,3.455,0.7293,0.9162
vowel,AdaBoost,0.2517,0.4545,0.4912
vowel,Naive Bayes,0.002,0.6626,0.7644
vowel,QDA,0.01,0.7061,0.9106
vowel,"NN-(300, 100)-relu-sigmoid-mean_squared_error",2.5199,0.7515,0.5664
vowel,"NN-(300, 100)-relu-softmax-crossentropy",2.4766,0.7697,0.5553
vowel,"NN-(500, 300)-relu-sigmoid-mean_squared_error",4.7009,0.7444,0.5621
vowel,"NN-(500, 300)-relu-softmax-crossentropy",1.6116,0.7707,0.5725
vowel,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",6.8488,0.7152,0.5604
vowel,"NN-(500, 500, 2000)-relu-softmax-crossentropy",5.2783,0.7162,0.5551
wav21,Nearest Neighbors,0.006,0.8228,0.89
wav21,Linear SVM,0.2287,0.87,0.8763
wav21,RBF SVM,0.4575,0.8654,0.9102
wav21,Gaussian Process,600.0,0.0,0.0
wav21,Decision Tree,0.0966,0.7562,1.0
wav21,Random Forest,3.9342,0.8506,1.0
wav21,Neural Net,17.1871,0.8564,0.9051
wav21,AdaBoost,1.9808,0.8320000000000001,0.8405
wav21,Naive Bayes,0.0087,0.809,0.81
wav21,QDA,0.0212,0.8538,0.8769
wav21,"NN-(300, 100)-relu-sigmoid-mean_squared_error",5.9416,0.853,0.7714
wav21,"NN-(300, 100)-relu-softmax-crossentropy",10.0067,0.8486,0.7684
wav21,"NN-(500, 300)-relu-sigmoid-mean_squared_error",10.9127,0.852,0.7709
wav21,"NN-(500, 300)-relu-softmax-crossentropy",13.7037,0.8418,0.7633
wav21,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",43.8724,0.8444,0.7643
wav21,"NN-(500, 500, 2000)-relu-softmax-crossentropy",42.9895,0.8384,0.7576
wav40,Nearest Neighbors,0.0437,0.8126,0.8843
wav40,Linear SVM,1.359,0.8646,0.8789
wav40,RBF SVM,2.444,0.871,0.9259
wav40,Gaussian Process,108.9603,0.767,1.0
wav40,Decision Tree,0.35600000000000004,0.7366,1.0
wav40,Random Forest,8.7837,0.8524,1.0
wav40,Neural Net,47.4543,0.8338,0.9901
wav40,AdaBoost,4.9142,0.828,0.8373
wav40,Naive Bayes,0.0709,0.7998,0.8015
wav40,QDA,0.13699999999999998,0.8366,0.9013
wav40,"NN-(300, 100)-relu-sigmoid-mean_squared_error",14.7459,0.8468,0.7697
wav40,"NN-(300, 100)-relu-softmax-crossentropy",17.9606,0.8342,0.7702
wav40,"NN-(500, 300)-relu-sigmoid-mean_squared_error",25.566999999999997,0.8378,0.7711
wav40,"NN-(500, 300)-relu-softmax-crossentropy",26.0124,0.8059999999999999,0.763
wav40,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",75.2886,0.8442,0.7696
wav40,"NN-(500, 500, 2000)-relu-softmax-crossentropy",63.3515,0.8190000000000001,0.7587
yeast,Nearest Neighbors,0.002,0.5081,0.6759
yeast,Linear SVM,0.0522,0.312,0.312
yeast,RBF SVM,0.1054,0.514,0.5465
yeast,Gaussian Process,183.7473,0.5417,0.6071
yeast,Decision Tree,0.0062,0.44799999999999995,1.0
yeast,Random Forest,1.0438,0.5412,1.0
yeast,Neural Net,11.7932,0.5162,0.547
yeast,AdaBoost,0.8108,0.4226,0.42
yeast,Naive Bayes,0.003,0.1077,0.122
yeast,QDA,0.0245,0.0811,0.0813
yeast,"NN-(300, 100)-relu-sigmoid-mean_squared_error",7.8103,0.5007,0.4026
yeast,"NN-(300, 100)-relu-softmax-crossentropy",8.3722,0.494,0.41
yeast,"NN-(500, 300)-relu-sigmoid-mean_squared_error",11.8665,0.4697,0.4036
yeast,"NN-(500, 300)-relu-softmax-crossentropy",12.5552,0.4779,0.4126
yeast,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",30.2783,0.4516,0.4094
yeast,"NN-(500, 500, 2000)-relu-softmax-crossentropy",28.2327,0.4589,0.4158
cube_2classes,Nearest Neighbors,0.0019,0.7352,0.8152
cube_2classes,Linear SVM,5.0804,0.5591,0.5766
cube_2classes,RBF SVM,0.7598,0.517,1.0
cube_2classes,Gaussian Process,68.7502,0.5148,1.0
cube_2classes,Decision Tree,0.0248,0.9937,1.0
cube_2classes,Random Forest,1.1172,0.9969,1.0
cube_2classes,Neural Net,13.2757,0.8297,0.9891
cube_2classes,AdaBoost,0.3503,0.9937,1.0
cube_2classes,Naive Bayes,0.002,0.9458,0.9469
cube_2classes,QDA,0.0129,0.9404,0.9452
cube_2classes,"NN-(300, 100)-relu-sigmoid-mean_squared_error",8.4833,0.5977,0.8078
cube_2classes,"NN-(300, 100)-relu-softmax-crossentropy",9.3634,0.483,0.483
cube_2classes,"NN-(500, 300)-relu-sigmoid-mean_squared_error",8.9034,0.5748,0.8048
cube_2classes,"NN-(500, 300)-relu-softmax-crossentropy",8.3913,0.483,0.483
cube_2classes,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",22.5257,0.5851,0.8125
cube_2classes,"NN-(500, 500, 2000)-relu-softmax-crossentropy",15.3863,0.483,0.483
cube_3classes,Nearest Neighbors,0.0028,0.5597,0.7029
cube_3classes,Linear SVM,203.3218,0.4107,0.4107
cube_3classes,RBF SVM,6.8214,0.4105,1.0
cube_3classes,Gaussian Process,77.3767,0.4107,1.0
cube_3classes,Decision Tree,0.0868,0.9443,1.0
cube_3classes,Random Forest,6.4593,0.9769,1.0
cube_3classes,Neural Net,31.5206,0.6858,0.8566
cube_3classes,AdaBoost,1.8994,0.7993,0.8118
cube_3classes,Naive Bayes,0.003,0.7949,0.7967
cube_3classes,QDA,0.0103,0.7769,0.799
cube_3classes,"NN-(300, 100)-relu-sigmoid-mean_squared_error",13.5075,0.3469,0.623
cube_3classes,"NN-(300, 100)-relu-softmax-crossentropy",17.3912,0.3345,0.6171
cube_3classes,"NN-(500, 300)-relu-sigmoid-mean_squared_error",24.4763,0.326,0.6215
cube_3classes,"NN-(500, 300)-relu-softmax-crossentropy",28.1815,0.32299999999999995,0.6286
cube_3classes,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",53.3539,0.2754,0.6421
cube_3classes,"NN-(500, 500, 2000)-relu-softmax-crossentropy",99.0048,0.2606,0.6916
lib_cons_miss10,Nearest Neighbors,0.0014,0.941,0.9622
lib_cons_miss10,Linear SVM,0.0114,0.8640000000000001,0.8668
lib_cons_miss10,RBF SVM,0.0159,0.978,0.9902
lib_cons_miss10,Gaussian Process,62.275,0.976,0.9972
lib_cons_miss10,Decision Tree,0.0014,0.9740000000000001,1.0
lib_cons_miss10,Random Forest,0.2005,0.9890000000000001,1.0
lib_cons_miss10,Neural Net,3.682,0.963,0.9825
lib_cons_miss10,AdaBoost,0.159,0.993,1.0
lib_cons_miss10,Naive Bayes,0.0015,0.9690000000000001,0.9725
lib_cons_miss10,QDA,0.0112,0.9570000000000001,0.9725
lib_cons_miss10,"NN-(300, 100)-relu-sigmoid-mean_squared_error",3.1072,0.93,0.8959999999999999
lib_cons_miss10,"NN-(300, 100)-relu-softmax-crossentropy",3.4924,0.4,0.4
lib_cons_miss10,"NN-(500, 300)-relu-sigmoid-mean_squared_error",5.3363,0.9329999999999999,0.905
lib_cons_miss10,"NN-(500, 300)-relu-softmax-crossentropy",4.534,0.4,0.4
lib_cons_miss10,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",12.4636,0.9,0.9023
lib_cons_miss10,"NN-(500, 500, 2000)-relu-softmax-crossentropy",8.1962,0.4,0.4
lib_cons_miss25,Nearest Neighbors,0.0013,0.855,0.9138
lib_cons_miss25,Linear SVM,0.0141,0.782,0.7885
lib_cons_miss25,RBF SVM,0.0227,0.95,0.981
lib_cons_miss25,Gaussian Process,75.4555,0.9620000000000001,0.9912
lib_cons_miss25,Decision Tree,0.0016,0.955,1.0
lib_cons_miss25,Random Forest,0.2084,0.976,1.0
lib_cons_miss25,Neural Net,3.5812,0.943,0.972
lib_cons_miss25,AdaBoost,0.1289,0.99,0.9978
lib_cons_miss25,Naive Bayes,0.0015,0.932,0.9359999999999999
lib_cons_miss25,QDA,0.01,0.914,0.9337
lib_cons_miss25,"NN-(300, 100)-relu-sigmoid-mean_squared_error",3.1902,0.787,0.8605
lib_cons_miss25,"NN-(300, 100)-relu-softmax-crossentropy",3.4501,0.4,0.4
lib_cons_miss25,"NN-(500, 300)-relu-sigmoid-mean_squared_error",6.0892,0.7829999999999999,0.8692
lib_cons_miss25,"NN-(500, 300)-relu-softmax-crossentropy",4.6754,0.4,0.4
lib_cons_miss25,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",18.7573,0.687,0.8895
lib_cons_miss25,"NN-(500, 500, 2000)-relu-softmax-crossentropy",9.7621,0.4,0.4
lib_cons_miss5,Nearest Neighbors,0.0014,0.951,0.9672
lib_cons_miss5,Linear SVM,0.0095,0.895,0.8982
lib_cons_miss5,RBF SVM,0.0126,0.9790000000000001,0.9902
lib_cons_miss5,Gaussian Process,69.2761,0.982,1.0
lib_cons_miss5,Decision Tree,0.0013,0.976,1.0
lib_cons_miss5,Random Forest,0.2044,0.995,1.0
lib_cons_miss5,Neural Net,3.6329,0.971,0.9838
lib_cons_miss5,AdaBoost,0.134,0.995,1.0
lib_cons_miss5,Naive Bayes,0.0015,0.982,0.9812
lib_cons_miss5,QDA,0.0099,0.976,0.9785
lib_cons_miss5,"NN-(300, 100)-relu-sigmoid-mean_squared_error",3.1192,0.9590000000000001,0.9118
lib_cons_miss5,"NN-(300, 100)-relu-softmax-crossentropy",3.3994,0.4,0.4
lib_cons_miss5,"NN-(500, 300)-relu-sigmoid-mean_squared_error",4.7712,0.929,0.912
lib_cons_miss5,"NN-(500, 300)-relu-softmax-crossentropy",4.5351,0.4,0.4
lib_cons_miss5,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",11.8958,0.961,0.9132
lib_cons_miss5,"NN-(500, 500, 2000)-relu-softmax-crossentropy",8.2503,0.4,0.4
lib_cons_sizeDiff,Nearest Neighbors,0.0016,0.981,0.987
lib_cons_sizeDiff,Linear SVM,0.0038,0.977,0.9788
lib_cons_sizeDiff,RBF SVM,0.0067,0.996,0.9998
lib_cons_sizeDiff,Gaussian Process,57.4078,0.991,1.0
lib_cons_sizeDiff,Decision Tree,0.001,0.992,1.0
lib_cons_sizeDiff,Random Forest,0.2336,0.9990000000000001,1.0
lib_cons_sizeDiff,Neural Net,3.5478,0.985,0.996
lib_cons_sizeDiff,AdaBoost,0.1301,0.9990000000000001,1.0
lib_cons_sizeDiff,Naive Bayes,0.0016,0.996,0.9962
lib_cons_sizeDiff,QDA,0.0105,0.996,0.9978
lib_cons_sizeDiff,"NN-(300, 100)-relu-sigmoid-mean_squared_error",3.0533,0.9790000000000001,0.9637
lib_cons_sizeDiff,"NN-(300, 100)-relu-softmax-crossentropy",3.7539999999999996,0.1,0.1
lib_cons_sizeDiff,"NN-(500, 300)-relu-sigmoid-mean_squared_error",5.9478,0.9840000000000001,0.9657
lib_cons_sizeDiff,"NN-(500, 300)-relu-softmax-crossentropy",4.3812,0.1,0.1
lib_cons_sizeDiff,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",10.8081,0.943,0.9372
lib_cons_sizeDiff,"NN-(500, 500, 2000)-relu-softmax-crossentropy",8.7299,0.1,0.1
pole_noise_high,Nearest Neighbors,0.0023,0.7794,0.8485
pole_noise_high,Linear SVM,0.1522,0.6841,0.6841
pole_noise_high,RBF SVM,0.284,0.8191,0.8476
pole_noise_high,Gaussian Process,21.266,0.6841,0.6841
pole_noise_high,Decision Tree,0.0077,0.6945,1.0
pole_noise_high,Random Forest,0.4673,0.7584,0.9999
pole_noise_high,Neural Net,3.7187,0.7176,0.7563
pole_noise_high,AdaBoost,0.1887,0.6543,0.6928
pole_noise_high,Naive Bayes,0.0018,0.6841,0.6841
pole_noise_high,QDA,0.0131,0.6532,0.6968
pole_noise_high,"NN-(300, 100)-relu-sigmoid-mean_squared_error",6.5709,0.6841,0.6847
pole_noise_high,"NN-(300, 100)-relu-softmax-crossentropy",7.9995,0.3159,0.3159
pole_noise_high,"NN-(500, 300)-relu-sigmoid-mean_squared_error",8.7816,0.6841,0.6841
pole_noise_high,"NN-(500, 300)-relu-softmax-crossentropy",8.0409,0.3159,0.3159
pole_noise_high,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",17.1977,0.6841,0.6841
pole_noise_high,"NN-(500, 500, 2000)-relu-softmax-crossentropy",15.6224,0.3159,0.3159
pole_noise_low,Nearest Neighbors,0.0013,0.8187,0.8573
pole_noise_low,Linear SVM,0.16699999999999998,0.6583,0.6583
pole_noise_low,RBF SVM,0.2313,0.8378,0.856
pole_noise_low,Gaussian Process,34.3182,0.7339,0.7339
pole_noise_low,Decision Tree,0.0055,0.7292,1.0
pole_noise_low,Random Forest,0.4526,0.8038,1.0
pole_noise_low,Neural Net,5.3803,0.8205,0.8236
pole_noise_low,AdaBoost,0.155,0.6607,0.6807
pole_noise_low,Naive Bayes,0.0023,0.6583,0.6583
pole_noise_low,QDA,0.0132,0.8193,0.8214
pole_noise_low,"NN-(300, 100)-relu-sigmoid-mean_squared_error",6.0195,0.6583,0.6579
pole_noise_low,"NN-(300, 100)-relu-softmax-crossentropy",7.2571,0.3417,0.3417
pole_noise_low,"NN-(500, 300)-relu-sigmoid-mean_squared_error",8.8601,0.6583,0.6561
pole_noise_low,"NN-(500, 300)-relu-softmax-crossentropy",10.6982,0.3417,0.3417
pole_noise_low,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",20.4198,0.6583,0.6583
pole_noise_low,"NN-(500, 500, 2000)-relu-softmax-crossentropy",17.8562,0.3417,0.3417
pole_noise_medium,Nearest Neighbors,0.0018,0.8064,0.8551
pole_noise_medium,Linear SVM,0.152,0.669,0.669
pole_noise_medium,RBF SVM,0.2605,0.8365,0.8531
pole_noise_medium,Gaussian Process,30.8802,0.7059,0.7035
pole_noise_medium,Decision Tree,0.0054,0.7185,1.0
pole_noise_medium,Random Forest,0.4515,0.7861,1.0
pole_noise_medium,Neural Net,5.0993,0.7619,0.7779
pole_noise_medium,AdaBoost,0.1573,0.6562,0.6883
pole_noise_medium,Naive Bayes,0.0027,0.669,0.669
pole_noise_medium,QDA,0.015,0.7163,0.727
pole_noise_medium,"NN-(300, 100)-relu-sigmoid-mean_squared_error",5.3188,0.6713,0.6677
pole_noise_medium,"NN-(300, 100)-relu-softmax-crossentropy",7.0603,0.331,0.331
pole_noise_medium,"NN-(500, 300)-relu-sigmoid-mean_squared_error",8.7404,0.669,0.6655
pole_noise_medium,"NN-(500, 300)-relu-softmax-crossentropy",9.4043,0.331,0.331
pole_noise_medium,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",22.5229,0.6672,0.669
pole_noise_medium,"NN-(500, 500, 2000)-relu-softmax-crossentropy",18.0103,0.331,0.331
pole_normalization,Nearest Neighbors,0.0013,0.825,0.8636
pole_normalization,Linear SVM,0.1852,0.6538,0.6538
pole_normalization,RBF SVM,0.1623,0.6884,0.6961
pole_normalization,Gaussian Process,36.3159,0.7253,0.7292
pole_normalization,Decision Tree,0.006,0.7452,1.0
pole_normalization,Random Forest,0.4505,0.8129,1.0
pole_normalization,Neural Net,6.6155,0.8190000000000001,0.8231
pole_normalization,AdaBoost,0.1836,0.6568,0.6796
pole_normalization,Naive Bayes,0.0015,0.6531,0.6538
pole_normalization,QDA,0.0136,0.6878,0.6923
pole_normalization,"NN-(300, 100)-relu-sigmoid-mean_squared_error",5.8772,0.6531,0.6533
pole_normalization,"NN-(300, 100)-relu-softmax-crossentropy",7.2367,0.3469,0.3469
pole_normalization,"NN-(500, 300)-relu-sigmoid-mean_squared_error",7.9689,0.6531,0.6535
pole_normalization,"NN-(500, 300)-relu-softmax-crossentropy",9.3625,0.3469,0.3469
pole_normalization,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",17.938,0.6531,0.6533
pole_normalization,"NN-(500, 500, 2000)-relu-softmax-crossentropy",15.5862,0.3469,0.3469
sphere_2classes,Nearest Neighbors,0.0015,0.5981,0.7523
sphere_2classes,Linear SVM,0.345,0.6173,0.6173
sphere_2classes,RBF SVM,0.3526,0.6173,1.0
sphere_2classes,Gaussian Process,19.3515,0.4093,1.0
sphere_2classes,Decision Tree,0.0202,0.6155,1.0
sphere_2classes,Random Forest,0.8793,0.6990000000000001,1.0
sphere_2classes,Neural Net,6.0989,0.6192,0.9178
sphere_2classes,AdaBoost,0.2496,0.7454,0.8204
sphere_2classes,Naive Bayes,0.0018,0.6923,0.7019
sphere_2classes,QDA,0.0103,0.6761,0.7105
sphere_2classes,"NN-(300, 100)-relu-sigmoid-mean_squared_error",3.2589,0.6384,0.6105
sphere_2classes,"NN-(300, 100)-relu-softmax-crossentropy",4.2915,0.6173,0.6173
sphere_2classes,"NN-(500, 300)-relu-sigmoid-mean_squared_error",5.0878,0.5981,0.6169
sphere_2classes,"NN-(500, 300)-relu-softmax-crossentropy",4.9424,0.6173,0.6173
sphere_2classes,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",14.3249,0.6094,0.6084
sphere_2classes,"NN-(500, 500, 2000)-relu-softmax-crossentropy",14.6562,0.6173,0.6173
sphere_3classes,Nearest Neighbors,0.0021,0.3782,0.5747
sphere_3classes,Linear SVM,2.2517,0.4038,0.4038
sphere_3classes,RBF SVM,1.1096,0.4034,1.0
sphere_3classes,Gaussian Process,20.9546,0.3459,1.0
sphere_3classes,Decision Tree,0.0573,0.4107,1.0
sphere_3classes,Random Forest,1.4354,0.4508,1.0
sphere_3classes,Neural Net,14.6952,0.4289,0.7257
sphere_3classes,AdaBoost,0.3715,0.5124,0.5869
sphere_3classes,Naive Bayes,0.0024,0.4836,0.5135
sphere_3classes,QDA,0.0126,0.4734,0.5334
sphere_3classes,"NN-(300, 100)-relu-sigmoid-mean_squared_error",5.507999999999999,0.4354,0.4083
sphere_3classes,"NN-(300, 100)-relu-softmax-crossentropy",5.3954,0.4188,0.4026
sphere_3classes,"NN-(500, 300)-relu-sigmoid-mean_squared_error",8.1824,0.3669,0.4143
sphere_3classes,"NN-(500, 300)-relu-softmax-crossentropy",9.3567,0.3974,0.4148
sphere_3classes,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",33.3928,0.3978,0.4088
sphere_3classes,"NN-(500, 500, 2000)-relu-softmax-crossentropy",26.4749,0.3844,0.4022
weapon,Nearest Neighbors,0.0687,0.9079,0.9358
weapon,Linear SVM,1.0408,0.8648,0.8776
weapon,RBF SVM,0.8592,0.8805,0.8832
weapon,Gaussian Process,31.9159,0.9225,0.9544
weapon,Decision Tree,1.0882,0.8945,1.0
weapon,Random Forest,2.0509,0.9428,1.0
weapon,Neural Net,10.1926,0.9167,0.943
weapon,AdaBoost,6.6041,0.9463,0.9917
weapon,Naive Bayes,0.0416,0.5544,0.5954
weapon,QDA,0.6706,0.8006,1.0
weapon,"NN-(300, 100)-relu-sigmoid-mean_squared_error",2.2278,0.9021,0.8734
weapon,"NN-(300, 100)-relu-softmax-crossentropy",1.6286,0.5,0.5
weapon,"NN-(500, 300)-relu-sigmoid-mean_squared_error",3.3511,0.9131,0.8667
weapon,"NN-(500, 300)-relu-softmax-crossentropy",2.2632,0.5,0.5
weapon,"NN-(500, 500, 2000)-relu-sigmoid-mean_squared_error",12.6211,0.8992,0.8642
weapon,"NN-(500, 500, 2000)-relu-softmax-crossentropy",5.6621,0.5,0.5
